time_of_day,PULocationID,demand,avg_fare,total_revenue,hour,day_of_week,month,is_weekend
Morning Rush,162,120.12952646239555,15.959464362013327,3991361.97,6,0,1,0
Morning Rush,163,64.12813370473538,21.34115270479912,2578399.92,6,0,1,0
Morning Rush,164,53.08495821727019,17.6975266397203,1870199.46,6,0,1,0
Morning Rush,166,19.564944134078214,18.250854676309643,665717.67,6,1,1,0
Morning Rush,170,97.241643454039,15.769184332396255,3146833.12,6,0,1,0
Morning Rush,186,151.94777158774374,14.234831181414002,4638209.32,6,0,1,0
Morning Rush,194,1.1343283582089552,54.181111111111115,16349.25,8,0,3,0
Morning Rush,202,1.1428571428571428,31.617142857142856,11338.73,8,5,2,1
Morning Rush,209,3.9495934959349595,26.446178844085534,164050.87,7,2,1,0
Morning Rush,211,10.308404558404558,18.574923990638702,365379.76,8,0,1,0
Morning Rush,224,9.915254237288135,16.686295466300457,319547.27,6,1,1,0
Morning Rush,229,75.06894150417827,14.925254536951725,2350958.71,6,0,1,0
Morning Rush,230,87.73885793871867,25.99264487381333,4386993.0,6,0,1,0
Morning Rush,231,33.98249299719888,19.982110637618693,1272343.26,6,0,1,0
Morning Rush,232,5.759354365370506,23.268568871759282,219231.97,8,1,1,0
Morning Rush,233,45.49512534818942,18.42967580944271,1668949.91,6,0,1,0
Morning Rush,234,54.97562674094708,14.578711726225523,1646960.89,6,0,1,0
Morning Rush,236,201.00626740947075,13.929460129600722,5949509.83,6,0,1,0
Morning Rush,237,149.70125348189416,13.295319632305794,4165760.5,6,0,1,0
Morning Rush,238,104.27228412256268,16.00820522830684,3410736.0,6,0,1,0
Morning Rush,239,114.23119777158774,16.320042724987548,3762073.22,6,0,1,0
Morning Rush,243,2.2868131868131867,30.167826892917827,70397.74,8,5,1,1
Morning Rush,244,5.294515401953419,24.839006737245988,206064.33,6,2,1,0
Morning Rush,246,26.10105263157895,17.37293867335527,894523.23,6,0,1,0
Morning Rush,249,45.53481894150418,14.64883745182101,1396358.1,6,0,1,0
Morning Rush,261,9.450213371266003,28.117996348390765,456578.8,6,1,1,0
Morning Rush,262,103.20696864111498,15.549071342690413,3319427.03,7,0,1,0
Morning Rush,263,93.50069637883009,14.947373066071718,2928058.33,6,0,1,0
